dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,47.27731370925903,0.45820293111005017,0.4458603364068634,0.017751174853131758,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,10,adam,-0.37800364856354807,0.82
dataset_name,RF,LCB,1,9.2636239528656,0.4003646573732332,0.40173654657574076,0.013238293538943562,sigmoid,0.7055276827236003,zeroshot,prodLDA,184,4,200,14,10,adam,-0.48829335613377267,0.92
dataset_name,RF,LCB,2,25.615906238555908,0.44694169174233267,0.44942051720556614,0.017699086998086217,selu,0.851925889694314,combined,prodLDA,281,1,200,32,10,adam,-0.3961472897114001,0.86
dataset_name,RF,LCB,3,18.831272840499878,0.3980086921434556,0.3964023743007788,0.0049293529528760234,sigmoid,0.4748628384945795,combined,LDA,196,4,50,38,10,adam,-0.499259912280817,0.93
dataset_name,RF,LCB,4,14.864763021469116,0.4065347861902841,0.40899035685555624,0.01563587379853179,elu,0.6077221243289302,zeroshot,prodLDA,239,1,30,35,10,adam,-0.47817079941402857,0.92
dataset_name,RF,LCB,5,35.428818464279175,0.5029668152878929,0.5010825564375939,0.00623930531016175,relu,0.3394964805353097,combined,prodLDA,118,4,50,49,10,sgd,-0.31595257757321715,0.95
dataset_name,RF,LCB,6,14.332634687423706,0.40924098741472026,0.4092959611567708,0.012294866513240429,softplus,0.8303777741403949,zeroshot,LDA,101,3,10,32,10,adam,-0.4667708072727487,0.88
dataset_name,RF,LCB,7,69.86238527297974,0.5390699155137281,0.5352447982388827,0.011260442521990847,tanh,0.802841865327007,combined,prodLDA,119,4,300,40,10,sgd,-0.2442175375951273,0.95
dataset_name,RF,LCB,8,267.7699406147003,0.40446830323713323,0.4020200328088577,0.007346440176692778,leakyrelu,0.9169100573510246,combined,prodLDA,141,4,50,45,10,adam,-0.4662630096411511,0.85
dataset_name,RF,LCB,9,648.3826446533203,0.42088761333637065,0.4141899493891063,0.01516904140222776,leakyrelu,0.7723386184559087,combined,prodLDA,126,4,10,47,10,adam,-0.44062073815255076,0.85
