dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,11.461358547210693,0.09063959658465083,0.09335502718906359,0.0038401987884435036,sigmoid,0.7910004306992118,128,200,20,adagrad,285,500,-0.031669976573656576,0.05
dataset_name,RF,LCB,1,183.1330771446228,0.41236635728505006,0.4077325053665672,0.011797909060871536,relu,0.7055276827236003,357,200,20,adadelta,245,775,-0.28307591863059955,0.495
dataset_name,RF,LCB,2,54.683045864105225,0.377024639260479,0.3798628739088737,0.004967628436886747,relu,0.3077499918792237,137,100,20,asgd,296,487,-0.5278793770885513,0.92
dataset_name,RF,LCB,3,1.3195819854736328,0.0,0.0,0.0,softplus,0.7038436422927611,191,200,20,rmsprop,553,784,-1.0,0.0
dataset_name,RF,LCB,4,123.04423117637634,0.41789679431379306,0.41604076247018335,0.0038183093192522685,softplus,0.9003794997111229,274,100,20,asgd,367,471,-0.37111470643513667,0.63
dataset_name,RF,LCB,5,13.953871011734009,0.3718463940652923,0.3729170107106971,0.0032687450696196885,sigmoid,0.6877274763703004,252,200,20,asgd,215,981,-0.5388409303388779,0.955
dataset_name,RF,LCB,6,4.791864395141602,0.13744701475094429,0.13495852701466834,0.0035566442159788015,relu,0.23515587104376073,322,300,20,rmsprop,224,549,-0.024895280279054566,0.08
dataset_name,RF,LCB,7,58.87756323814392,0.3734464820084454,0.38652342828744984,0.021359531459250323,sigmoid,0.8222924687280307,264,100,20,asgd,455,747,-0.5369566790056169,0.965
dataset_name,RF,LCB,8,75.44493675231934,0.3877208926927413,0.38736618513746723,0.0011652639137160383,relu,0.9283694840862894,134,100,20,asgd,598,956,-0.5080499814266806,0.915
dataset_name,RF,LCB,9,93.5025405883789,0.39469921265292096,0.3967288525320641,0.0038917721423504218,relu,0.7614505339084346,197,200,20,asgd,407,718,-0.48502951908983827,0.845
