dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,279.07028675079346,0.09120211468443727,0.09120211468443727,0.0,sigmoid,0.7910004306992118,128,200,20,adagrad,285,500,0.03663677592055335,0.05
dataset_name,RF,LCB,1,56.12048292160034,0.10745292834061199,0.11009994077527069,0.003744636103974548,relu,0.7055276827236003,357,200,20,rmsprop,245,775,0.027523568892855316,0.06
dataset_name,RF,LCB,2,1360.8354988098145,0.38781567734652467,0.38712109454863913,0.0036931832158889726,relu,0.3077499918792237,137,100,20,asgd,296,487,-0.5000775732694281,0.875
dataset_name,RF,LCB,3,158.2878212928772,0.09120211468443727,0.09120211468443727,0.0,softplus,0.7038436422927611,191,200,20,adam,553,784,0.03663677592055335,0.05
dataset_name,RF,LCB,4,3094.743751525879,0.38944795349146305,0.3858590099844859,0.006353633715550878,softplus,0.9003794997111229,274,100,20,asgd,367,471,-0.2344482305848085,0.4
dataset_name,RF,LCB,5,2180.50053524971,0.39467144583197966,0.3936968856130833,0.011232151581674826,sigmoid,0.6877274763703004,252,200,20,asgd,215,981,-0.3314725935585415,0.52
dataset_name,RF,LCB,6,3683.53831076622,0.2664301013429028,0.27782008070176356,0.01617928484233626,softplus,0.15088457607405992,351,100,20,asgd,293,786,-0.04947425251317612,0.185
dataset_name,RF,LCB,7,1120.58358335495,0.40465103890509485,0.40658356449654226,0.005755904917747565,softplus,0.28621675377238986,240,100,20,asgd,388,440,-0.34893598141470666,0.57
dataset_name,RF,LCB,8,139.77041625976562,0.35644807627083414,0.3558405385728991,0.0021019517762671277,softplus,0.037944171064069054,288,200,20,asgd,567,456,-0.18020927579162,0.31
dataset_name,RF,LCB,9,12.090422868728638,0.09120211468443727,0.09120211468443727,0.0,relu,0.6967935679480021,219,100,20,adagrad,569,425,0.03663677592055335,0.05
