dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),kappa,tau,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,20.323434352874756,0.3503171106054171,0.35099071128550935,0.001715898369068857,0.7273505261106861,107.91584387779517,-0.5337997939809841,0.7086666666666667
dataset_name,RF,LCB,1,20.67606782913208,0.3500580536859919,0.3509744798684166,0.001329443154118068,0.8982714934301166,97.11928623877057,-0.5363443584825328,0.7226666666666667
dataset_name,RF,LCB,2,19.270139455795288,0.35251000331859944,0.3531258173088256,0.0015388768448121272,0.8724556274135113,20.29446154173533,-0.5273309271286518,0.6933333333333334
dataset_name,RF,LCB,3,18.72562003135681,0.35849898941942393,0.35829289699491734,0.000887150510707552,0.521149583514101,72.42907407389616,-0.5121387612763267,0.6813333333333333
dataset_name,RF,LCB,4,18.79052710533142,0.3530431609193102,0.35277420450446373,0.001343764042973559,0.7745110797923128,35.53463491365726,-0.5288428889096607,0.7053333333333334
dataset_name,RF,LCB,5,19.28314471244812,0.34819380013897255,0.3500179703602004,0.0027186896303865614,0.9702565489160634,35.62908450410285,-0.5369755401517199,0.706
dataset_name,RF,LCB,6,18.764876127243042,0.35624546965177467,0.35559406801965493,0.0010035823693695075,0.7624393193089849,31.954515843835278,-0.524599257835086,0.7086666666666667
dataset_name,RF,LCB,7,18.734224557876587,0.40317600783947594,0.40293330307810543,0.0013372627653085334,0.6680300144095939,8.229062487446905,-0.3987901933804465,0.612
dataset_name,RF,LCB,8,18.77847146987915,0.39030645059383917,0.3902285145741938,0.0005061633755570639,0.5997862862941569,13.779237858718425,-0.431524735711007,0.6226666666666667
dataset_name,RF,LCB,9,18.52136206626892,0.39442097145194976,0.3943126962724027,0.0017114311686506544,0.6892979193369887,8.237034963849144,-0.4192506067595113,0.612
