dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,68.41794538497925,0.510421124029909,0.5102721679979801,0.015667960755662774,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,50,2.203020112523004,84,-0.027765627131561846,0.554
dataset_name,RF,LCB,1,294.8891439437866,0.5443487283249286,0.5333967583242331,0.02183765992879401,symmetric,1363,0.6346049595571991,0.45866122638233686,12,50,8.260694351430722,383,-0.04617843630912121,0.634
dataset_name,RF,LCB,2,205.28185892105103,0.5650170386357396,0.5598154547121461,0.008966133764447165,symmetric,22107,0.5184473180271604,0.5952892196922652,470,50,3.999333450319846,264,-0.0992837249755035,0.756
dataset_name,RF,LCB,3,167.65975546836853,0.5530921357893421,0.5445571583193339,0.01861407288441068,symmetric,1547,0.6402367106598953,0.4521969528050088,462,50,5.173804171499826,214,-0.04817709732400771,0.666
dataset_name,RF,LCB,4,325.5916676521301,0.40558155102607407,0.4037659344962517,0.004938466721529444,asymmetric,7993,0.7238805943477356,0.18644728555992077,650,50,9.408265825527765,433,-0.2003959794302798,0.418
dataset_name,RF,LCB,5,344.4107539653778,0.526722320450032,0.5196672629818668,0.015108205091526243,asymmetric,15623,0.8754129909913106,0.05438493093852226,632,50,5.997962864246919,428,-0.16545201254931904,0.682
dataset_name,RF,LCB,6,175.09797859191895,0.47968832937522154,0.46366414367914904,0.022728217475490035,symmetric,2644,0.7267344371531312,0.25291020014614635,430,50,9.909233452397517,224,-0.07807501454037588,0.496
dataset_name,RF,LCB,7,160.9499843120575,0.5266259549992355,0.5267273391951252,0.0024969765486587384,symmetric,43979,0.6300341953533306,0.7683980802299006,231,50,9.208344829260216,206,-0.07927296950665676,0.624
dataset_name,RF,LCB,8,247.43412375450134,0.45368435839861526,0.45521641179165506,0.0050861192183626015,symmetric,45182,0.9651576736705649,0.6485841598579778,469,50,9.160219115656083,338,-0.04590070695125702,0.43
dataset_name,RF,LCB,9,297.259827375412,0.5632065209943882,0.5597341602866756,0.013156260549900134,symmetric,2314,0.680722454870441,0.651555110574552,518,50,3.8682077821682315,386,-0.06999887082316097,0.714
