dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,240.35309219360352,0.5445549243456712,0.5531887546958119,0.02008031804380468,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,50,2.203020112523004,84,0.04901748663259032,0.58
dataset_name,RF,LCB,1,1241.506416797638,0.44700248484724975,0.45224341217277564,0.019875684126992876,asymmetric,1363,0.6346049595571991,0.45866122638233686,12,50,8.260694351430722,383,-0.10384700872510061,0.446
dataset_name,RF,LCB,2,842.0247902870178,0.4462866311955506,0.457112633394351,0.02715186424060786,asymmetric,22107,0.5184473180271604,0.5952892196922652,470,50,3.999333450319846,264,-0.0030791529827217125,0.404
dataset_name,RF,LCB,3,927.8359563350677,0.426774713541229,0.42369402459885747,0.017993554337077857,asymmetric,1547,0.6402367106598953,0.4521969528050088,462,50,5.173804171499826,214,-0.014274180806478132,0.374
dataset_name,RF,LCB,4,1795.9433069229126,0.5180399291887631,0.5232377655149798,0.02350115885741398,symmetric,7993,0.7238805943477356,0.18644728555992077,650,50,9.408265825527765,433,-0.01439206062789776,0.546
dataset_name,RF,LCB,5,1946.7264666557312,0.5859221129402566,0.5818634194475987,0.020269976576945847,symmetric,15623,0.8754129909913106,0.05438493093852226,632,50,5.997962864246919,428,-0.023104913600708238,0.732
dataset_name,RF,LCB,6,22102.076880931854,0.03838078086033718,0.03838078086033718,0.0,asymmetric,18463,0.9130709578120544,0.856126003412545,953,50,0.5621145424325354,75,-0.05186938765238372,0.02
dataset_name,RF,LCB,7,271.54160237312317,0.42337515221068095,0.42646421371369714,0.006600241383732232,asymmetric,3784,0.729040646454373,0.34164524418310316,715,50,7.344192946592089,96,-0.13292768621646547,0.414
dataset_name,RF,LCB,8,55.042222023010254,0.5667836426253445,0.5520096381718901,0.027454487820415797,symmetric,34875,0.7296532249498582,0.32423415958999463,547,50,4.948097313590922,13,0.03019408314678052,0.63
dataset_name,RF,LCB,9,307.9981224536896,0.43845865856739724,0.4440401498480478,0.008821654865184778,asymmetric,14277,0.8417430915336058,0.27564885216027313,695,50,6.993979077679729,111,-0.1782309751852462,0.478
