dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,9.95069146156311,0.4077798444744471,0.408170117741295,0.007696750191948053,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,20,adam,-0.4561690514688519,0.85
dataset_name,RF,LCB,1,14.084070444107056,0.45694016523643666,0.4604417337708,0.006634070527779368,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,20,adam,-0.3571442600602267,0.835
dataset_name,RF,LCB,2,13.128926515579224,0.4532864457803253,0.4529462509882565,0.008846988933643952,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,20,sgd,-0.39184319710705057,0.9
dataset_name,RF,LCB,3,19.51331639289856,0.4589122805386882,0.46088658928698245,0.009977380471080672,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,20,adam,-0.3581299155784098,0.775
dataset_name,RF,LCB,4,17.651779413223267,0.45474053056604774,0.45481902665749513,0.0019501143039925904,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,20,adam,-0.38560887044635284,0.885
dataset_name,RF,LCB,5,39.97174048423767,0.4328615760814869,0.43149517976123725,0.00838675398600016,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,20,adam,-0.4330292040731094,0.925
dataset_name,RF,LCB,6,21.86506462097168,0.4639322189841608,0.4641140352524209,0.005094569150648551,relu,0.14756507966321086,0.004482487822898561,0.8418022200886237,257,3,792,37,20,sgd,-0.3807845353048506,0.92
dataset_name,RF,LCB,7,20.15140652656555,0.5319585354661884,0.5346119797952891,0.004212918818044924,softplus,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,20,adam,-0.2546037111696541,0.925
dataset_name,RF,LCB,8,17.391937732696533,0.42191102701979727,0.4252476079473973,0.00807438341569565,relu,0.15618726632498117,0.005194893368642397,0.9051840482355673,58,10,681,47,20,adam,-0.43881741210367514,0.89
dataset_name,RF,LCB,9,21.316174030303955,0.44799614563881823,0.4507889551432715,0.010513062989569189,relu,0.48807568733311985,0.009657935092297095,0.9525373139439594,143,3,628,41,20,adam,-0.3864098706580345,0.83
