dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,14.814866065979004,0.4053555725244325,0.4063330686684909,0.005309962618366252,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,30,adam,-0.4426871035687466,0.7433333333333333
dataset_name,RF,LCB,1,23.26204776763916,0.42170250294057,0.4244035408600535,0.005320844233729292,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,30,sgd,-0.3584147196250759,0.6166666666666667
dataset_name,RF,LCB,2,12.392169952392578,0.4012619451818077,0.4030932828700802,0.0029284186953375895,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,30,adam,-0.46945385838514914,0.8233333333333334
dataset_name,RF,LCB,3,17.109825134277344,0.42718084909223875,0.4275812018817165,0.003159028922124701,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,30,sgd,-0.34069690809970754,0.6066666666666667
dataset_name,RF,LCB,4,16.445014238357544,0.4274415695270201,0.42861921833506406,0.004725985332998788,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,30,sgd,-0.392118181435324,0.7366666666666667
dataset_name,RF,LCB,5,26.944435358047485,0.433792869256363,0.43242858904411846,0.002689609578345403,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,30,sgd,-0.41001429977462756,0.82
dataset_name,RF,LCB,6,10.097338199615479,0.4232616914477317,0.42174559662697114,0.0073706332692360784,relu,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,30,adam,-0.36085894781260214,0.6166666666666667
dataset_name,RF,LCB,7,35.02708458900452,0.4653503901026366,0.46763332522223067,0.009429554505604155,softplus,0.8109408719500075,0.009868734048418483,0.7021090055761043,217,6,562,46,30,adam,-0.3154646664199427,0.7266666666666667
dataset_name,RF,LCB,8,18.981816053390503,0.4696445500089378,0.47403533398967657,0.008201711910669962,relu,0.831563490661311,0.007795130144021407,0.6850970501119178,466,5,489,32,30,adam,-0.29156722679832064,0.6966666666666667
dataset_name,RF,LCB,9,21.203325748443604,0.48154530730209977,0.47708459317779867,0.007744752235930438,relu,0.9371836150773971,0.0096273718920591,0.5237807317711334,287,9,461,39,30,adam,-0.2770632690038649,0.6866666666666666
