dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,h_max_iter,h_stop_condition,kappa,minimum_probability,num_topics,passes,w_max_iter,w_stop_condition,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,60.56231951713562,0.572742083285025,0.5786947879163996,0.009222446027507034,4820,85,0.001621462067862438,0.6597236255198837,0.05366684736783671,30,107,167,0.000258599175944627,-0.02081299469944105,0.6933333333333334
dataset_name,RF,LCB,1,225.4677596092224,0.5713377493583547,0.5690651135749768,0.0034178386681145566,1360,92,0.009169528088164087,0.8071647705303653,0.08182534973762229,30,443,109,0.00035215736837530164,-0.05856195788198172,0.71
dataset_name,RF,LCB,2,116.57109832763672,0.5914333692616315,0.5942038990441759,0.004277622138198878,5273,80,0.009716335654208971,0.6627570227987455,0.05797714744644096,30,224,483,0.0008515426771950209,0.005461686266348915,0.7266666666666667
dataset_name,RF,LCB,3,172.2718186378479,0.5711551354000266,0.571879754499487,0.01248806633852313,5156,21,0.002346454071148054,0.885738137367893,0.08306547005797021,30,335,249,0.00031851495066278677,-0.047531256575502404,0.7133333333333334
dataset_name,RF,LCB,4,95.95526266098022,0.5808718248964788,0.5774461445301414,0.012009607770745985,9225,31,0.007001969630924772,0.8367199355096173,0.09200749448597417,30,178,486,0.0006890760829715061,-0.023319011148103797,0.7033333333333334
dataset_name,RF,LCB,5,224.8067111968994,0.5826912305312033,0.5811592882907017,0.005414711632091478,5629,54,0.007352892880876622,0.8157597011274815,0.05643485976274054,30,447,179,0.0008133842126763416,-0.018164324326105832,0.7166666666666667
dataset_name,RF,LCB,6,47.15730094909668,0.5561048289595454,0.5633240510775231,0.010318258512711348,8517,38,0.00933761704566553,0.5100763110127147,0.06530178717462123,30,84,230,0.0005869803285776918,-0.06547887848945759,0.7
dataset_name,RF,LCB,7,121.08268332481384,0.5675484410307271,0.5699565767066753,0.009206604779310776,7825,37,0.007504907301015866,0.8498715429575868,0.04999879510369369,30,236,491,0.000854360024746863,-0.042384804395647284,0.7066666666666667
dataset_name,RF,LCB,8,33.7428297996521,0.556289568708546,0.5587834721686978,0.005802503402003586,6283,73,0.008611162668258135,0.9741260887874006,0.06850981301054385,30,55,410,0.0007852000380980156,-0.008085345483600705,0.6333333333333333
dataset_name,RF,LCB,9,239.75542044639587,0.5810205128988382,0.5872976104053712,0.009009190081282953,3276,85,0.008998741681027014,0.5923440144855607,0.016771691717985537,30,478,459,0.0008490196321420753,-0.029519436761887594,0.7433333333333333
