dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,h_max_iter,h_stop_condition,kappa,minimum_probability,num_topics,passes,w_max_iter,w_stop_condition,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,220.80129957199097,0.5741801065303908,0.5632102200664497,0.018786091517310942,4820,85,0.001621462067862438,0.6597236255198837,0.05366684736783671,20,107,167,0.000258599175944627,-0.03253095010885358,0.695
dataset_name,RF,LCB,1,836.0159902572632,0.5691611282285286,0.5697347485735299,0.005091435977790813,1360,92,0.009169528088164087,0.8071647705303653,0.08182534973762229,20,443,109,0.00035215736837530164,-0.056354542182733,0.725
dataset_name,RF,LCB,2,417.00274181365967,0.5575175248232417,0.5597246156151584,0.0036637604672523235,5273,80,0.009716335654208971,0.6627570227987455,0.05797714744644096,20,224,483,0.0008515426771950209,-0.07119678834136804,0.695
dataset_name,RF,LCB,3,601.1141538619995,0.5619773584474482,0.5662124301732643,0.01089307328668338,5156,21,0.002346454071148054,0.885738137367893,0.08306547005797021,20,335,249,0.00031851495066278677,-0.05660969997476073,0.71
dataset_name,RF,LCB,4,336.49225091934204,0.5762366784735126,0.5824212117271644,0.012528680677321564,9225,31,0.007001969630924772,0.8367199355096173,0.09200749448597417,20,178,486,0.0006890760829715061,-0.034839715597270976,0.715
dataset_name,RF,LCB,5,847.9277470111847,0.5705911183799197,0.5691110113363703,0.010302868386628637,5629,54,0.007352892880876622,0.8157597011274815,0.05643485976274054,20,447,179,0.0008133842126763416,-0.05493119769377439,0.72
dataset_name,RF,LCB,6,164.55994534492493,0.5636331784946158,0.5621381153727776,0.004619706701408371,8517,38,0.00933761704566553,0.5100763110127147,0.06530178717462123,20,84,230,0.0005869803285776918,-0.05193420437631707,0.695
dataset_name,RF,LCB,7,414.8190248012543,0.5623234513939572,0.5657887759794683,0.009455753404839475,9385,28,0.006640498244146363,0.7150408757316213,0.05570153053133137,20,199,455,0.0003603645130717064,-0.03299014698996837,0.7
dataset_name,RF,LCB,8,22.36368703842163,0.51735203133263,0.5165057233250615,0.00405624936682814,9197,61,0.0021963270822822826,0.8863170872933596,0.08232758384820288,20,6,226,0.0007326345746430155,-0.07254460946973931,0.58
dataset_name,RF,LCB,9,337.8896505832672,0.5654985457039325,0.564224016457512,0.0042983259333596105,4462,70,0.0038847485877853195,0.7615395478271277,0.051073444145652895,20,159,116,0.0008945725722177123,-0.046775749074401,0.7
