dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,221.3955705165863,0.388647068393589,0.3863205905417275,0.0035720108029578014,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,10,adam,-0.5114116534230391,0.88
dataset_name,RF,LCB,1,137.05637216567993,0.5026296373511181,0.5145803923342939,0.025961695080370675,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,10,sgd,-0.30264065429644144,0.9
dataset_name,RF,LCB,2,64.29472351074219,0.5230654290837798,0.5177226040242715,0.026955553240862077,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,10,adam,-0.27823417593627175,0.95
dataset_name,RF,LCB,3,113.92409753799438,0.48185271896522824,0.4794079678597066,0.006800480270496708,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,10,sgd,-0.31049839013078107,0.8
dataset_name,RF,LCB,4,91.13336515426636,0.5019528719326066,0.5013609450412789,0.003086137685338062,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,10,sgd,-0.3036524098166865,0.87
dataset_name,RF,LCB,5,94.02962040901184,0.48914034410669177,0.4834306566845126,0.012897165773938565,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,10,sgd,-0.34595171647893447,0.97
dataset_name,RF,LCB,6,112.9548020362854,0.5112510586944173,0.5105385727180148,0.01971604106354887,softplus,0.021057613777936246,0.00412913139681602,0.5115677725721385,137,3,686,18,10,adam,-0.27603043044490094,0.87
dataset_name,RF,LCB,7,37.39210391044617,0.39566741352317625,0.40012897121138796,0.007665525170779416,relu,0.8645113394742863,0.0012639273647722772,0.9704374798515785,91,2,724,11,10,adam,-0.49432134667171407,0.92
dataset_name,RF,LCB,8,236.8708782196045,0.557182662904957,0.549857930797013,0.013712114437456981,softplus,0.45220766046500155,0.007291006165277386,0.6705128993497378,263,3,248,30,10,adam,-0.17490685846312823,0.8
dataset_name,RF,LCB,9,214.915105342865,0.551473007546288,0.5529218981350951,0.0021792532988645337,softplus,0.8167658698034947,0.008389680929355726,0.6871120162846257,409,2,350,49,10,adam,-0.16955183177088448,0.82
