dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,n_topics,num_layers,num_neurons,Topic diversity(not optimized)
dataset_name,RF,LCB,0,2.0060698986053467,-0.5006844832256674,-0.506245399688292,0.008708988668890465,sigmoid,0.7910004306992118,10,2,50,0.9
dataset_name,RF,LCB,1,1.8565773963928223,-0.48716925116811616,-0.4864071384158981,0.014963126664283025,softplus,0.7055276827236003,30,1,50,0.93
dataset_name,RF,LCB,2,1.79337739944458,-0.47743032927500445,-0.4812007430690526,0.006968607499724225,relu,0.5215710516053943,10,4,100,0.93
dataset_name,RF,LCB,3,2.9550387859344482,-0.45223504823924543,-0.4361122033057991,0.02690549164354964,softplus,0.8857757993301112,20,1,10,0.85
dataset_name,RF,LCB,4,1.8987791538238525,-0.4877566616391273,-0.4918069533132408,0.0092189181237862,sigmoid,0.49428287465608184,10,3,200,0.93
dataset_name,RF,LCB,5,1.6127781867980957,-0.4986832281582173,-0.487307186387667,0.02113375214610818,softplus,0.4792618428926916,20,2,50,0.95
dataset_name,RF,LCB,6,2.5916340351104736,-0.45924818328198036,-0.46534894549976036,0.013276614665906928,sigmoid,0.6895738387254938,40,4,200,0.93
dataset_name,RF,LCB,7,4.3661208152771,-0.4736617101847866,-0.46586071361863163,0.015984622407162072,softplus,0.9495132664915359,20,2,300,0.86
dataset_name,RF,LCB,8,1.86794114112854,-0.503335244341774,-0.49201037360615013,0.024803316925657626,softplus,0.7828572684805977,20,4,30,0.93
dataset_name,RF,LCB,9,1.9363317489624023,-0.4933936369277319,-0.48996349753989726,0.011536727124570862,relu,0.9300076149649974,20,4,10,0.88
dataset_name,RF,LCB,10,1.6959786415100098,-0.4878719943983699,-0.48141952299869234,0.013881445897342101,sigmoid,0.8491850603811643,40,1,200,0.88
dataset_name,RF,LCB,11,3.3443796634674072,-0.47113647103285106,-0.4361894293820651,0.0907173730333844,softplus,0.9190000544296891,30,1,300,0.93
dataset_name,RF,LCB,12,1.9650743007659912,-0.4796138299239594,-0.48237066119728933,0.004283163815512245,softplus,0.8794951502749184,20,1,200,0.87
dataset_name,RF,LCB,13,2.4120333194732666,-0.45820039331706164,-0.4581154924558333,0.038874649977498336,softplus,0.9381155520712584,20,1,30,0.9
