dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),iterations,num_topics,passes,Coherence(not optimized)
dataset_name,RF,LCB,0,8.077926397323608,0.48333333333333334,0.4711111111111111,0.02985561965009868,460,30,20,-0.10308842925971592
dataset_name,RF,LCB,1,27.26500916481018,0.48333333333333334,0.48888888888888893,0.00785674201318386,800,30,80,-0.09109955312269931
dataset_name,RF,LCB,2,20.662347555160522,0.47,0.45999999999999996,0.014142135623730937,110,10,60,-0.05993259062134011
dataset_name,RF,LCB,3,33.468064069747925,0.53,0.53,0.016329931618554536,550,10,100,-0.08174023709439428
dataset_name,RF,LCB,4,33.75612998008728,0.49,0.48,0.016555182695279266,240,30,100,-0.10511284743442201
dataset_name,RF,LCB,5,20.065665245056152,0.51,0.5066666666666667,0.02054804667656327,340,10,60,-0.06917415358837511
dataset_name,RF,LCB,6,22.967027187347412,0.54,0.5299999999999999,0.06164414002968975,900,10,70,-0.0918433905956395
dataset_name,RF,LCB,7,23.665756940841675,0.64,0.63,0.029439202887759516,10,10,80,-0.11731366670196426
dataset_name,RF,LCB,8,11.110865354537964,0.49,0.49666666666666665,0.016996731711975962,450,10,30,-0.028706298746097057
dataset_name,RF,LCB,9,31.969274520874023,0.51,0.5266666666666667,0.023570226039551605,930,10,90,-0.0925566034775577
dataset_name,RF,LCB,10,5.12596869468689,0.48,0.44333333333333336,0.05185449728701348,530,10,10,-0.018698451092251767
dataset_name,RF,LCB,11,17.557671785354614,0.5,0.51,0.029439202887759516,410,10,50,-0.06963153927558172
dataset_name,RF,LCB,12,26.286337852478027,0.53,0.5366666666666667,0.016996731711975962,150,10,80,-0.07400275151217567
dataset_name,RF,LCB,13,28.07550358772278,0.53,0.5233333333333333,0.024944382578492966,760,10,80,-0.05200926995711783
dataset_name,RF,LCB,14,29.279423713684082,0.48,0.4766666666666666,0.012472191289246459,630,10,80,-0.0563834310779094
dataset_name,RF,LCB,15,27.615182161331177,0.53,0.5366666666666667,0.0329983164553722,320,10,80,-0.04949892319690892
dataset_name,RF,LCB,16,33.53571891784668,0.55,0.5366666666666667,0.03399346342395189,990,10,80,-0.08656381324107335
dataset_name,RF,LCB,17,28.00810933113098,0.52,0.5233333333333333,0.036817870057290855,60,10,80,-0.06287500584380327
dataset_name,RF,LCB,18,30.358479022979736,0.57,0.5466666666666665,0.04027681991198189,460,10,80,-0.07056418951685703
dataset_name,RF,LCB,19,34.76476073265076,0.53,0.5033333333333333,0.04496912521077349,160,10,80,-0.06728996501071756
dataset_name,RF,LCB,20,28.900464296340942,0.48,0.49333333333333335,0.018856180831641284,990,10,80,-0.05577014780421178
dataset_name,RF,LCB,21,27.52659296989441,0.51,0.5,0.029439202887759492,370,10,80,-0.05228691955422744
